K	Variance
1	0.0026729912
2	6.3048844E-4
3	3.9916422E-4
4	5.3185975E-4
5	2.7572992E-4
6	3.7436598E-4
7	2.9586355E-4
8	3.064928E-4
9	2.747586E-4
10	2.29409E-4
11	1.920712E-4
12	1.9834354E-4
13	1.7803592E-4
14	1.6695482E-4
15	1.5883506E-4
16	1.399245E-4
17	1.3130474E-4
18	1.258052E-4
19	1.1736967E-4
20	1.08760985E-4
21	9.818038E-5
22	9.9195204E-5
23	9.146794E-5
24	8.6683795E-5
25	8.381388E-5
26	8.060126E-5
27	7.8620375E-5
28	7.3271345E-5
29	7.079348E-5
30	7.544247E-5
31	6.82657E-5
32	6.7030334E-5
33	6.349341E-5
34	6.107979E-5
35	6.134618E-5
36	5.8865196E-5
37	5.7134057E-5
38	5.5447494E-5
39	5.401503E-5
40	5.6092995E-5
41	5.2103824E-5
42	5.1296207E-5
43	4.9252947E-5
44	4.8304617E-5
45	4.630126E-5
46	4.6909026E-5
47	4.6784313E-5
48	4.5880744E-5
49	4.4940884E-5
50	4.3706765E-5
51	4.2434203E-5
52	4.2045627E-5
53	4.080207E-5
54	4.0011244E-5
55	4.1480474E-5
56	3.8985847E-5
57	3.808004E-5
58	3.7849153E-5
59	3.713238E-5
60	3.6203506E-5
61	3.5816585E-5
62	3.621405E-5
63	3.5046804E-5
64	3.4042878E-5
65	3.4284574E-5
66	3.3009466E-5
67	3.3493212E-5
68	3.233139E-5
69	3.19597E-5
70	3.288942E-5
71	3.1893087E-5
72	3.117484E-5
73	3.1247346E-5
74	2.9648661E-5
75	2.9946654E-5
76	2.8951956E-5
77	2.8988858E-5
78	2.8701974E-5
79	2.8319759E-5
80	2.9209497E-5
81	2.732595E-5
82	2.7852091E-5
83	2.6991138E-5
84	2.6531126E-5
85	2.5967685E-5
86	2.6389705E-5
87	2.7617052E-5
88	2.5943862E-5
89	2.5342719E-5
90	2.5278165E-5
91	2.4905836E-5
92	2.5212685E-5
93	2.468737E-5
94	2.4243776E-5
95	2.5502712E-5
96	2.4096546E-5
97	2.3640789E-5
98	2.3184186E-5
99	2.3217395E-5
100	2.2370163E-5
101	2.2693344E-5
102	2.2231663E-5
103	2.3029457E-5
104	2.1866705E-5
105	2.1967891E-5
106	2.1786525E-5
107	2.1683443E-5
108	2.1333071E-5
109	2.0751932E-5
110	2.1540533E-5
111	2.1013924E-5
112	2.064951E-5
113	2.0979764E-5
114	2.046293E-5
115	2.0771842E-5
116	2.042009E-5
117	1.98237E-5
118	2.010621E-5
119	1.9502837E-5
120	1.9449739E-5
121	1.9212746E-5
122	1.9513662E-5
123	1.808142E-5
124	1.8745868E-5
125	1.678456E-5
126	1.7292998E-5
127	1.846952E-5
128	1.83862E-5
129	1.8055029E-5
130	1.8134959E-5
131	1.8115526E-5
132	1.628479E-5
133	1.826103E-5
134	1.7081276E-5
135	1.7923427E-5
136	1.7016635E-5
137	1.7460674E-5
138	1.6270795E-5
139	1.5505031E-5
140	1.5700949E-5
141	1.6988051E-5
142	1.6985285E-5
143	1.557764E-5
144	1.5106576E-5
145	1.6520526E-5
146	1.5816377E-5
147	1.6494532E-5
148	1.6289672E-5
149	1.4944825E-5
150	1.4521727E-5
151	1.4657356E-5
152	1.5094995E-5
153	1.5572596E-5
154	1.5671898E-5
155	1.5073064E-5
156	1.4719533E-5
157	1.4228628E-5
158	1.5737047E-5
159	1.42721565E-5
160	1.5631118E-5
161	1.47175015E-5
162	1.4857397E-5
163	1.3686256E-5
164	1.4734755E-5
165	1.3232074E-5
166	1.4334114E-5
167	1.414651E-5
168	1.2862375E-5
169	1.3134634E-5
170	1.2622533E-5
171	1.3067439E-5
