K	Variance
1	2.9981368
2	1.7071285
3	1.4662957
4	1.3837513
5	1.104418
6	1.300179
7	1.1580367
8	1.2480584
9	1.0196577
10	0.9949312
11	1.0974246
12	0.9043954
13	0.94231176
14	0.9188677
15	0.9561657
16	0.8770391
17	0.85666746
18	0.834056
19	0.81307256
20	0.7786875
21	0.8179065
22	0.7361069
23	0.8104686
24	0.7316472
25	0.73349357
26	0.7421935
27	0.73468596
28	0.7216816
29	0.7294728
30	0.69207674
31	0.70017684
32	0.66602916
33	0.61668414
34	0.67807204
35	0.6583156
36	0.6325807
37	0.648968
38	0.6770242
39	0.63497674
40	0.6316894
41	0.55753744
42	0.59031975
43	0.641568
44	0.5726867
45	0.63326377
46	0.5674564
47	0.59937847
48	0.5912805
49	0.5699296
50	0.54654866
51	0.55109435
52	0.5803737
53	0.56605405
54	0.5197504
55	0.5503259
56	0.55028516
57	0.5541819
58	0.5610534
59	0.5012016
60	0.5222527
61	0.555402
62	0.54257506
63	0.5031189
64	0.5163426
65	0.5118851
66	0.5091523
67	0.527113
68	0.48784846
69	0.5149978
70	0.5105111
71	0.46404856
72	0.50222164
73	0.46604046
74	0.4899062
75	0.47138727
76	0.48083034
77	0.48461616
78	0.48619625
79	0.44710797
80	0.4350557
81	0.46025637
82	0.4378668
83	0.4338916
84	0.4451915
85	0.4279955
86	0.42916366
87	0.44022152
88	0.44599846
89	0.4463139
90	0.43704274
91	0.41089037
92	0.42011413
93	0.4220762
94	0.40871873
95	0.42081627
96	0.4107501
97	0.4099548
98	0.38742816
99	0.41195273
100	0.41864315
101	0.40001753
102	0.38148847
103	0.37388825
104	0.381918
105	0.40976027
106	0.38632876
107	0.3738042
108	0.37787995
109	0.3999314
110	0.38434827
111	0.36341122
112	0.39274597
113	0.37536174
114	0.3703725
115	0.3572116
116	0.37162015
117	0.36854365
118	0.3742745
119	0.36176884
120	0.35616943
121	0.34435877
122	0.34603167
123	0.34242684
124	0.35862345
125	0.34176445
126	0.37020224
127	0.33541986
128	0.3499283
129	0.34258357
130	0.333612
131	0.34392703
132	0.3583876
133	0.3445374
134	0.33401915
135	0.34393227
136	0.3419246
137	0.33751673
138	0.33542824
139	0.32314956
140	0.28716317
141	0.32975057
142	0.2959699
143	0.3310452
144	0.33054006
145	0.33326623
146	0.33160654
147	0.31124017
148	0.3135825
149	0.30680504
150	0.2918968
151	0.30788442
152	0.32383597
153	0.30182534
154	0.29575357
155	0.30367827
156	0.39764774
157	0.28886092
158	0.30389422
159	0.29243118
160	0.29786506
161	0.3061083
162	0.30626523
163	0.29862916
164	0.2933225
165	0.29627246
166	0.29305586
167	0.30566573
168	0.2694483
169	0.27193534
170	0.28067747
171	0.29975498
172	0.28724915
173	0.278269
174	0.2790377
175	0.27690953
176	0.2881463
177	0.25802386
178	0.2741483
179	0.26605517
180	0.25673217
181	0.2591651
182	0.2643432
183	0.27051705
184	0.26977536
185	0.28318796
186	0.28517416
187	0.2712557
188	0.26963836
189	0.27204165
190	0.2614303
191	0.2692123
192	0.27027956
193	0.26059753
194	0.25098836
195	0.26521245
196	0.2567329
197	0.25352088
198	0.24761741
199	0.25488442
200	0.24559286
201	0.24200377
202	0.24594049
203	0.25984824
204	0.2402581
205	0.25917467
206	0.24129471
207	0.2401806
208	0.24465153
209	0.24693139
210	0.24313188
211	0.23187761
212	0.2517188
213	0.23817164
214	0.24671632
215	0.23058991
216	0.234803
217	0.24041714
218	0.24102409
219	0.22817995
220	0.2322181
221	0.2308043
222	0.2227598
223	0.2334471
224	0.22241645
225	0.22884782
226	0.22551814
227	0.22178829
228	0.22403054
229	0.23903811
230	0.2189179
231	0.2163478
232	0.21924287
233	0.22741409
234	0.22709604
235	0.22707014
236	0.2189424
237	0.23138544
238	0.23111568
239	0.21351519
240	0.21574105
241	0.21421541
242	0.20150748
243	0.21823432
244	0.20832446
245	0.2186011
246	0.20721053
247	0.21961129
248	0.21934217
249	0.20472175
250	0.2030759
251	0.21771507
252	0.2055796
253	0.20331565
254	0.20912427
255	0.21066122
256	0.209284
257	0.1993657
258	0.19745113
259	0.20668983
260	0.20054512
261	0.20079519
262	0.20160131
263	0.20509075
264	0.20789064
265	0.20748392
266	0.2013263
267	0.19857834
268	0.19567978
269	0.19872291
270	0.19168743
271	0.19947186
272	0.1896158
273	0.18887174
274	0.1937461
275	0.18761142
276	0.18868774
277	0.19707957
