K,s2
801,0.018748166
802,0.018628249
803,0.019002968
804,0.018927895
805,0.018800877
806,0.018595705
807,0.018221471
808,0.018422576
809,0.018863713
810,0.018988984
811,0.018999923
812,0.018437557
813,0.018482551
814,0.018258927
815,0.01843756
816,0.018223863
817,0.018462354
818,0.01829272
819,0.018333653
820,0.018408505
821,0.017989619
822,0.018600155
823,0.018510437
824,0.018297726
825,0.018592494
826,0.018583776
827,0.018495874
828,0.01830745
829,0.017921727
830,0.018385893
831,0.01844635
832,0.01821756
833,0.018122282
834,0.018332394
835,0.018302925
836,0.01824508
837,0.01834605
838,0.018330317
839,0.01825501
840,0.018597424
841,0.018192343
842,0.017959597
843,0.018191637
844,0.018243866
845,0.017946266
846,0.017966712
847,0.018303268
848,0.017823476
849,0.017861165
850,0.017930865
851,0.018261338
852,0.018132864
853,0.018156353
854,0.018041132
855,0.017861016
856,0.017729718
857,0.017684776
858,0.017646452
859,0.017856415
860,0.01754398
861,0.017959753
862,0.017686334
863,0.017754532
864,0.01802313
865,0.017706826
866,0.018068705
867,0.017780203
868,0.017485252
869,0.01817771
870,0.017982027
871,0.017531637
872,0.0179394
873,0.018017022
874,0.01757031
875,0.017644357
876,0.017574895
877,0.017584745
878,0.017629098
879,0.017583719
880,0.017620644
881,0.017864428
882,0.017919665
883,0.017341485
884,0.017748732
885,0.017958425
886,0.017589958
887,0.017317045
888,0.017750526
889,0.017721353
890,0.017666552
891,0.017303366
892,0.017910609
893,0.01718543
894,0.01724122
895,0.017265653
896,0.017584117
897,0.017336434
898,0.017573059
899,0.01770142
900,0.017306356
901,0.017422
902,0.017281525
903,0.017253064
904,0.017188951
905,0.017047081
906,0.017092269
907,0.017517671
908,0.01697887
909,0.017030356
910,0.017205771
911,0.017177777
912,0.017363016
913,0.017367784
914,0.016995054
915,0.017082514
916,0.017038621
917,0.017147241
918,0.017109828
919,0.016803265
920,0.017141799
921,0.017187648
922,0.017093925
923,0.01690896
924,0.017028201
925,0.017179966
926,0.01690821
927,0.017250229
928,0.016817326
929,0.016803768
930,0.017210094
931,0.016737966
932,0.016860867
933,0.01704346
934,0.016684126
935,0.017082257
936,0.01682268
937,0.01698668
938,0.016851945
939,0.016564524
940,0.01694536
941,0.016502555
942,0.016765028
943,0.01626697
944,0.016653895
945,0.016675394
946,0.017006403
947,0.016935535
948,0.016543863
949,0.016710939
950,0.016843874
951,0.0170087
952,0.01656137
953,0.01679003
954,0.01670232
955,0.016834866
956,0.016695919
957,0.016587006
958,0.016682247
959,0.016540108
960,0.016481964
961,0.01647539
962,0.016396945
963,0.016673418
964,0.01659637
965,0.016528958
966,0.01642949
967,0.01635882
968,0.016408786
969,0.017056623
970,0.016344357
971,0.016599083
972,0.016704787
973,0.016612818
974,0.016260603
975,0.016289664
976,0.016410435
977,0.01645436
978,0.016301682
979,0.016234268
980,0.016421748
981,0.016280103
982,0.016489299
983,0.016349854
984,0.016561396
985,0.016154852
986,0.016136587
987,0.016457126
988,0.015872842
989,0.015724882
990,0.016267978
991,0.016159484
992,0.016166901
993,0.016211763
994,0.016372671
995,0.015972579
996,0.016207289
997,0.01615186
998,0.01583956
999,0.016006498
1000,0.016118547
1001,0.016062956
1002,0.016160553
1003,0.01602029
1004,0.016226055
1005,0.016454214
1006,0.016198197
1007,0.016434152
1008,0.015800167
1009,0.015926126
1010,0.01614975
1011,0.015668083
1012,0.015770216
1013,0.015882213
1014,0.016180117
1015,0.01616406
1016,0.015890142
1017,0.0157228
1018,0.015583594
1019,0.015874298
1020,0.01624146
1021,0.015869793
1022,0.015880212
1023,0.015847534
1024,0.015884267
1025,0.015684372
1026,0.015324157
1027,0.015644958
1028,0.015576574
1029,0.015526934
1030,0.01571694
1031,0.015559571
1032,0.015697138
1033,0.015829235
1034,0.015895637
1035,0.015557602
1036,0.01517073
1037,0.015676953
1038,0.015345752
1039,0.015232311
1040,0.015950514
1041,0.015323392
1042,0.015733622
1043,0.0153941875
1044,0.015662074
1045,0.015656885
1046,0.015904127
1047,0.015624151
1048,0.015422359
1049,0.015419981
1050,0.0154278325
