K;s2
1;0.4092179
2;0.2733541
3;0.21913932
4;0.20139945
5;0.18737145
6;0.16840994
7;0.15359648
8;0.14794397
9;0.13698968
10;0.1289909
11;0.13308375
12;0.1271514
13;0.12063679
14;0.12450403
15;0.11877867
16;0.111006364
17;0.10300864
18;0.099842615
19;0.106302775
20;0.102866836
21;0.096838035
22;0.0910253
23;0.09418783
24;0.09302858
25;0.087721
26;0.08454708
27;0.088003375
28;0.08916995
29;0.08525143
30;0.08102438
31;0.08669114
32;0.08299146
33;0.07722912
34;0.07738043
35;0.07753021
36;0.077085085
37;0.07793751
38;0.07848229
39;0.07896724
40;0.07135493
41;0.074428014
42;0.07303842
43;0.07336687
44;0.07249406
45;0.067312814
46;0.06783069
47;0.07088202
48;0.06866321
49;0.06869676
50;0.06518173
51;0.065591514
52;0.07069125
53;0.06501174
54;0.067231864
55;0.063916646
56;0.06594531
57;0.06127644
58;0.06560314
59;0.064510934
60;0.06682755
61;0.06422335
62;0.058174267
63;0.06338514
64;0.06372041
65;0.05797826
66;0.061091714
67;0.05767098
68;0.06083566
69;0.059776764
70;0.057618722
71;0.059967373
72;0.060228325
73;0.057977594
74;0.061246786
75;0.05847143
76;0.058764946
77;0.05941135
78;0.059483122
79;0.055969056
80;0.05695772
81;0.058706574
82;0.054138314
83;0.056573108
84;0.054837182
85;0.056250226
86;0.05573428
87;0.05362733
88;0.054931782
89;0.055709228
90;0.051054347
91;0.05522234
92;0.055636577
93;0.052340955
94;0.05298377
95;0.054322574
96;0.052461963
97;0.05044069
98;0.05440987
99;0.050935745
100;0.049819555
101;0.050697453
102;0.049322605
103;0.05203201
104;0.05002744
105;0.050306924
106;0.051896147
107;0.051055357
108;0.048435014
109;0.050401736
110;0.05137007
111;0.0496451
112;0.050286233
113;0.04905571
114;0.048899114
115;0.048648965
116;0.051142804
117;0.048091654
118;0.0479656
119;0.048553493
120;0.04745309
121;0.0476332
122;0.048687495
123;0.046668485
124;0.045401707
125;0.04689682
126;0.048359506
127;0.046767905
128;0.046112996
129;0.04742543
130;0.044825856
131;0.046806604
132;0.045818437
133;0.0480083
134;0.046353735
135;0.047052532
136;0.045765355
137;0.044964135
138;0.045308582
139;0.04562214
140;0.046030104
141;0.043652937
142;0.043690726
143;0.04541738
144;0.044444736
145;0.043950252
146;0.045424424
147;0.044735495
148;0.044973325
149;0.04293257
150;0.043937307
151;0.043627117
152;0.042029724
153;0.045875218
154;0.04297266
155;0.043476075
156;0.04256678
157;0.04440185
158;0.04235887
159;0.042973135
160;0.04208224
161;0.04309795
162;0.041641727
163;0.043155972
164;0.03879201
165;0.041688107
166;0.04227196
167;0.04206266
168;0.042385828
169;0.041813012
170;0.039190758
171;0.042508442
172;0.041298706
173;0.041673884
174;0.041883588
175;0.040455796
176;0.04209376
177;0.040770497
178;0.041227084
179;0.0414719
180;0.040767185
181;0.04154847
182;0.041768927
183;0.040727034
184;0.04012744
185;0.040724274
186;0.03907848
187;0.04016411
188;0.039990492
189;0.039965916
190;0.039972994
191;0.04109176
192;0.039490085
193;0.03992626
194;0.03969599
195;0.03835997
196;0.037534226
197;0.039711773
198;0.03873138
199;0.03736386
200;0.039359525
201;0.039205648
202;0.038376182
203;0.038953975
204;0.03866935
205;0.03837686
206;0.037867054
207;0.03837412
208;0.03765343
209;0.037958447
210;0.039656416
211;0.037333474
212;0.038583558
213;0.038222037
214;0.03830082
215;0.038356673
216;0.037087854
217;0.036688905
218;0.036438957
219;0.03693222
220;0.037205614
221;0.037405618
