K	Variance
1	0.34794575
2	0.23211424
3	0.18806241
4	0.17163947
5	0.15604681
6	0.14366597
7	0.13161618
8	0.13738438
9	0.13141692
10	0.121431224
11	0.117867276
12	0.11437641
13	0.10983972
14	0.10817974
15	0.10482005
16	0.10269402
17	0.101750165
18	0.09454226
19	0.103252664
20	0.09353336
21	0.090767354
22	0.09673006
23	0.09679073
24	0.09101411
25	0.094220504
26	0.090051614
27	0.09003885
28	0.08707792
29	0.08736831
30	0.07862423
31	0.0833475
32	0.083509766
33	0.076495826
34	0.08419231
35	0.08039517
36	0.08176032
37	0.08204749
38	0.080851994
39	0.07482576
40	0.07832079
41	0.07655106
42	0.07461084
43	0.07243339
44	0.07612965
45	0.071914196
46	0.071763255
47	0.072605744
48	0.07000631
49	0.071503535
50	0.07186744
51	0.070879094
52	0.07075155
53	0.06852873
54	0.07138023
55	0.07029158
56	0.06563957
57	0.07087347
58	0.068534605
59	0.06825827
60	0.06714592
61	0.06616681
62	0.06870555
63	0.06590019
64	0.06617445
65	0.06382492
66	0.06334944
67	0.06540934
68	0.06442369
69	0.062232543
70	0.06352165
71	0.061002087
72	0.062372986
73	0.06327264
74	0.06328252
75	0.0645924
76	0.061962064
77	0.060639217
78	0.060214188
79	0.05974125
80	0.059488762
81	0.061996322
82	0.05989451
83	0.0598889
84	0.057532642
85	0.058748785
86	0.059021264
87	0.05604709
88	0.058424864
89	0.057492632
90	0.05661348
91	0.057696547
92	0.057271145
93	0.05685125
94	0.05605903
95	0.05650119
96	0.05624727
97	0.05710184
98	0.05676218
99	0.05580059
100	0.0551409
101	0.05574707
102	0.05523279
103	0.054917175
104	0.05390208
105	0.054391276
106	0.053382035
107	0.052867796
108	0.05360451
109	0.053209495
110	0.053793237
111	0.053822633
112	0.052682463
113	0.051705454
114	0.05194145
115	0.05256308
116	0.052384634
117	0.050621048
118	0.051792894
119	0.050178394
120	0.05075401
121	0.051874816
122	0.049914766
123	0.051653054
124	0.05113868
125	0.0502436
126	0.048665114
127	0.047380876
128	0.050584376
129	0.04936525
130	0.047803354
131	0.050422687
132	0.047740396
133	0.04831822
134	0.047848202
135	0.04670072
136	0.048959095
137	0.0481133
138	0.048138022
139	0.04717912
140	0.048388943
141	0.047493167
142	0.04764136
143	0.048390128
144	0.047403805
145	0.047347557
146	0.046797216
147	0.04760292
148	0.048634436
149	0.047055792
150	0.047388848
151	0.046698987
152	0.045209616
153	0.047358476
154	0.046118952
155	0.0458019
156	0.047543887
157	0.042724974
158	0.04556537
159	0.045113105
160	0.04605239
161	0.043650676
162	0.04462946
163	0.045002658
164	0.04500509
165	0.045429055
166	0.044261634
167	0.043047834
168	0.041686382
169	0.044390842
170	0.042990148
171	0.044037536
172	0.043593306
173	0.044443917
174	0.042699352
175	0.0447995
176	0.04305771
177	0.044390053
178	0.04328504
179	0.04251069
180	0.04214819
181	0.042905726
182	0.043610703
183	0.041744146
184	0.043122124
185	0.042342257
186	0.04109326
187	0.042576194
188	0.042530753
189	0.043003548
190	0.042348918
191	0.04210596
192	0.04049869
193	0.04089548
194	0.042603314
195	0.04253491
196	0.041156404
197	0.04166242
198	0.040686667
199	0.03975583
200	0.04118052
201	0.041862912
202	0.0406204
203	0.041637555
204	0.040369015
205	0.039833423
206	0.03966476
207	0.039795592
208	0.040240537
209	0.040552158
210	0.041059997
211	0.04043381
212	0.039341565
213	0.040315606
214	0.040171623
215	0.039881624
216	0.039131064
217	0.04035364
218	0.039443523
219	0.038774475
220	0.038962614
221	0.038202822
222	0.039040133
223	0.039129075
224	0.039664038
225	0.03877956
226	0.03801086
227	0.039196882
228	0.03704069
229	0.03903097
230	0.03839487
231	0.038671
232	0.039057665
233	0.038529806
234	0.03796189
235	0.03831518
236	0.037752297
237	0.03764069
238	0.038100008
239	0.036609862
240	0.037273183
241	0.03742986
242	0.036488142
243	0.036719248
244	0.036984574
245	0.037728686
246	0.03835182
247	0.03782851
248	0.037328593
249	0.0361799
250	0.036563653
251	0.0379618
252	0.03633002
253	0.035991035
254	0.03733879
255	0.038288277
256	0.037431244
257	0.03695402
258	0.036484808
259	0.037522916
260	0.03574807
261	0.036419116
262	0.03524429
263	0.035830654
264	0.035820983
265	0.036245868
266	0.035632033
267	0.035378188
268	0.03667682
269	0.036301002
270	0.036536
271	0.035520185
272	0.035439473
273	0.035761144
274	0.035353243
275	0.0365266
276	0.03449308
277	0.034421872
278	0.03499787
279	0.034433667
280	0.035458077
281	0.036088068
282	0.03439191
283	0.0340529
284	0.035359453
285	0.034992382
286	0.033707865
287	0.034524947
288	0.035503227
289	0.03435684
290	0.034156494
291	0.034831874
292	0.03402684
293	0.03466404
294	0.03462336
295	0.0337426
296	0.034076523
297	0.0340194
298	0.034136772
299	0.033684824
300	0.03301068
301	0.03430883
302	0.034695644
303	0.03462323
304	0.03460862
305	0.03394533
306	0.033718217
307	0.034631103
308	0.032835696
309	0.033735804
310	0.033804733
311	0.03271244
312	0.03451201
313	0.033744898
314	0.03320821
315	0.03247289
316	0.033194795
317	0.032762885
318	0.033310372
319	0.032569062
320	0.033000913
321	0.03196727
322	0.032760367
323	0.032107785
324	0.032077175
325	0.032748986
326	0.031789776
327	0.033234514
328	0.032681677
329	0.032965727
330	0.032166537
331	0.031973474
332	0.031976216
333	0.032849424
334	0.031929135
335	0.031874854
336	0.03200733
337	0.032382343
338	0.031886578
339	0.03207131
