K;s2
1;0.055565067
2;0.04513458
3;0.041668303
4;0.03875467
5;0.03704914
6;0.03691222
7;0.035764426
8;0.03440628
9;0.03372517
10;0.032071523
11;0.032324255
12;0.031716794
13;0.031156909
14;0.030299462
15;0.030304678
16;0.029813902
17;0.02948109
18;0.029263858
19;0.02886179
20;0.029018458
21;0.028873553
22;0.027736614
23;0.027573302
24;0.027386783
25;0.028250437
26;0.026959412
27;0.027996937
28;0.027006175
29;0.026966242
30;0.02684694
31;0.026160412
32;0.02665129
33;0.027024709
34;0.02554414
35;0.025727417
36;0.02521006
37;0.025707584
38;0.02559956
39;0.025648717
40;0.024837073
41;0.025064625
42;0.02461974
43;0.024746064
44;0.024703719
45;0.024669899
46;0.024824068
47;0.024066906
48;0.024942702
49;0.02403583
50;0.02368033
51;0.024343038
52;0.024354994
53;0.02348938
54;0.023805125
55;0.023679169
56;0.023861585
57;0.023526365
58;0.023380328
59;0.023962304
60;0.023398172
61;0.023268547
62;0.022451691
63;0.023038695
64;0.022986203
65;0.023083873
66;0.022315463
67;0.022885602
68;0.023165993
69;0.022768255
70;0.02251228
71;0.022961037
72;0.02219846
73;0.022161527
74;0.02234454
75;0.022526387
76;0.022367908
77;0.022068791
78;0.021832405
79;0.021857643
80;0.02206504
81;0.02227221
82;0.022007875
83;0.021709409
84;0.022403788
85;0.022401132
86;0.02170327
87;0.021673871
88;0.021465722
89;0.021626072
90;0.021059485
91;0.021198764
92;0.021442015
93;0.020897068
94;0.021383215
95;0.021561522
96;0.020894252
97;0.021039948
98;0.021144705
99;0.021054773
100;0.021213204
101;0.020503951
102;0.02074964
103;0.020705875
104;0.020734675
105;0.020551996
106;0.020712806
107;0.020709518
108;0.0210344
109;0.02076971
110;0.020755116
111;0.020605434
112;0.020830456
113;0.020604713
114;0.020502135
115;0.020164056
116;0.020310828
117;0.020545617
118;0.019986004
119;0.020419035
120;0.020290175
121;0.02028015
122;0.020201873
123;0.020026727
124;0.019935729
125;0.020391272
126;0.020095864
127;0.020109074
128;0.020262778
129;0.020194886
130;0.020204192
131;0.01980419
132;0.01992153
133;0.020076234
134;0.019652618
135;0.019779421
136;0.019791022
137;0.019426718
138;0.019487184
139;0.019832069
140;0.019458914
141;0.018945314
142;0.019600552
143;0.02006806
144;0.019170737
145;0.01960468
146;0.019738048
147;0.019374615
148;0.019412078
149;0.01935555
150;0.019719016
151;0.019161709
152;0.018961161
